ID_PROVEEDOR;NOM_PROVEEDOR;DIR_PROVEEDOR;EMAIL_PROVEEDOR;NIT_PROVEEDOR;TEL_PROVEEDOR
1;Conelec;Calle 123 # 45-67, Bogotá;conelec@gmail.es;900123456-8;3219006574
2;Alfatronic;Carrera 8 Este # 23-45, Medellín;alfatronic@email.es;801234567-2;3124657856
3;Electrycams;Avenida Sur # 12-34, Cali;electry.cams@electry.com.co;700987654-4;3136784657
4;telectronics;Transversal 56 # 78-90, Barranquilla;telectronics@gmail.com;600246813-9;3146785746
5;bunker;Diagonal 10A # 32-54, Cartagena;bunker@bunker.com.co;500135792-1;3224657847
6;Imposeg;Carrera 15 # 67-89, Pereira;imposeg@gmail.com.es;400864209-7;3158674958
7;Provesi;Calle 21B Este # 43-21, Bucaramanga;provesi@gmail.com;300543210-6;3206879374
8;Total Safety;Avenida Norte # 98-76, Cúcuta;total.safety.sas@safety.com.co;200135790-3;3145623432
9;Seguridad Industrial S.A.S;Carrera 30A # 12-34, Santa Marta;seguridad@gmail.com;100864209-0;3159802345
10;Prosiami;Calle 25B Oeste # 56-78, Villavicencio;prosiami@gmail.com;901098765-5;3129089898
